Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method,Sales per Item,Store ID
4646,Handbag,24.0,2/20/2021,2.6,Cash,419.0,2.0
4863,Handbag,24.0,1/19/2020,4.6,Cash,215.0,4.0
3118,Handbag,24.0,2/19/2021,2.2,Cash,377.0,8.0
4506,Handbag,24.0,2/23/2019,2.1,Debit Card,109.0,10.0
3982,Handbag,24.0,2/27/2021,3.5,Online Payment,324.0,3.0
4582,Handbag,24.0,1/20/2019,1.8,Credit Card,91.0,7.0
4611,Handbag,24.0,2/27/2021,2.7,Debit Card,417.0,9.0
4031,Handbag,24.0,12/20/2020,1.6,Cash,132.0,3.0
3921,Handbag,24.0,2/9/2022,3.9,Cash,243.0,9.0
3241,Handbag,24.0,12/17/2023,1.4,Debit Card,195.0,9.0
3321,Handbag,24.0,2/19/2022,2.4,Debit Card,309.0,6.0
3114,Handbag,24.0,1/15/2023,2.3,Online Payment,70.0,8.0
3116,Handbag,24.0,1/5/2022,1.6,Online Payment,320.0,2.0
3392,Handbag,24.0,12/17/2022,1.2,Credit Card,225.0,5.0
3127,Handbag,24.0,12/4/2022,3.0,Debit Card,121.0,2.0
4814,Handbag,24.0,2/6/2021,2.8,Debit Card,161.0,6.0
3612,Handbag,24.0,2/16/2019,4.3,Cash,189.0,10.0
4708,Handbag,24.0,1/6/2019,4.4,Online Payment,328.0,2.0
3730,Wallet,24.0,2/5/2023,3.2,Debit Card,231.0,4.0
3426,Handbag,24.0,12/9/2023,2.9,Cash,288.0,10.0
4256,Wallet,24.0,1/18/2020,4.2,Debit Card,121.0,9.0
3714,Handbag,24.0,2/7/2023,1.6,Cash,111.0,6.0
3301,Wallet,24.0,2/26/2023,4.9,Cash,160.0,7.0
4034,Handbag,24.0,12/3/2022,2.3,Online Payment,320.0,4.0
4013,Handbag,24.0,2/4/2023,1.5,Credit Card,171.0,5.0
4988,Handbag,24.0,2/11/2023,2.0,Credit Card,223.0,4.0
4179,Handbag,24.0,1/24/2019,3.1,Debit Card,115.0,5.0
3590,Handbag,24.0,12/12/2020,1.9,Cash,89.0,2.0
3612,Handbag,24.0,1/6/2020,2.6,Online Payment,271.0,6.0
3734,Handbag,24.0,2/18/2022,1.5,Online Payment,342.0,6.0
4029,Handbag,24.0,9/14/2019,1.4,Credit Card,313.0,4.0
3713,Handbag,24.0,12/3/2023,3.3,Credit Card,213.0,9.0
3028,Handbag,24.0,1/23/2020,2.6,Online Payment,171.0,8.0
4540,Wallet,24.0,2/28/2020,4.1,Debit Card,137.0,10.0
4076,Handbag,24.0,12/8/2019,1.5,Cash,212.0,4.0
4650,Handbag,24.0,2/3/2020,3.9,Cash,324.0,3.0
4100,Handbag,24.0,2/9/2019,1.5,Online Payment,132.0,7.0
3063,Handbag,24.0,1/7/2022,2.6,Online Payment,243.0,2.0
3158,Handbag,24.0,1/11/2020,2.8,Debit Card,289.0,10.0
3057,Handbag,24.0,2/13/2021,1.8,Debit Card,206.0,1.0
4733,Handbag,24.0,2/25/2023,4.2,Online Payment,76.0,1.0
4045,Handbag,24.0,12/10/2020,2.4,Online Payment,211.0,5.0
4995,Handbag,24.0,1/5/2019,2.3,Debit Card,347.0,6.0
3927,Handbag,24.0,12/28/2020,2.2,Credit Card,59.0,4.0
3714,Handbag,24.0,12/6/2023,1.4,Debit Card,213.0,3.0
4665,Handbag,24.0,2/20/2023,1.1,Credit Card,120.0,10.0
4974,Wallet,24.0,2/13/2022,1.1,Debit Card,182.0,4.0
4130,Handbag,24.0,2/20/2020,3.5,Online Payment,158.0,6.0
3966,Handbag,24.0,2/1/2020,3.7,Credit Card,262.0,9.0
4798,Handbag,24.0,12/4/2019,1.4,Debit Card,251.0,6.0
3869,Handbag,24.0,2/6/2020,2.4,Online Payment,166.0,3.0
4664,Handbag,24.0,10/24/2020,4.6,Online Payment,62.0,2.0
3155,Handbag,24.0,1/19/2023,4.8,Debit Card,183.0,9.0
3711,Handbag,24.0,12/18/2021,3.8,Online Payment,199.0,10.0
3212,Handbag,24.0,2/26/2019,4.8,Cash,223.0,2.0
4660,Handbag,24.0,2/20/2020,2.5,Debit Card,168.0,10.0
4228,Handbag,24.0,2/25/2023,1.9,Online Payment,122.0,6.0
4110,Handbag,24.0,1/28/2021,2.8,Online Payment,244.0,7.0
3052,Handbag,24.0,11/17/2019,3.9,Debit Card,229.0,6.0
3043,Handbag,24.0,10/11/2020,1.6,Debit Card,88.0,9.0
3697,Handbag,24.0,1/4/2019,2.1,Cash,350.0,2.0
3006,Wallet,24.0,2/21/2022,3.0,Cash,83.0,2.0
4524,Handbag,24.0,2/11/2023,4.3,Online Payment,77.0,9.0
3097,Handbag,478.0,1/12/2021,4.1,Cash,102.0,2.0
3010,Handbag,477.0,2/27/2022,4.6,Online Payment,110.0,7.0
4350,Handbag,475.0,9/19/2020,1.0,Credit Card,187.0,6.0
4445,Handbag,474.0,1/9/2022,1.5,Cash,133.0,8.0
4827,Handbag,473.0,12/3/2023,4.9,Debit Card,66.0,6.0
4667,Handbag,472.0,12/19/2023,1.6,Online Payment,113.0,5.0
4114,Wallet,472.0,2/20/2021,1.2,Credit Card,307.0,2.0
3127,Wallet,471.0,2/23/2019,1.1,Online Payment,111.0,8.0
3662,Handbag,470.0,2/26/2022,4.1,Debit Card,236.0,9.0
3282,Handbag,468.0,2/13/2021,1.4,Cash,233.0,2.0
3992,Handbag,468.0,12/25/2023,3.5,Online Payment,176.0,9.0
4305,Tunic,468.0,4/3/2022,1.1,Debit Card,145.0,2.0
3678,Handbag,467.0,12/2/2022,5.0,Debit Card,59.0,7.0
3819,Handbag,467.0,11/17/2020,4.9,Credit Card,245.0,2.0
4423,Wallet,467.0,2/18/2023,3.2,Cash,234.0,1.0
3421,Handbag,466.0,12/16/2022,4.7,Cash,93.0,6.0
3177,Handbag,466.0,10/28/2023,2.0,Credit Card,296.0,5.0
4890,Handbag,464.0,2/16/2019,2.2,Credit Card,275.0,4.0
4738,Handbag,464.0,1/20/2023,4.8,Cash,113.0,3.0
4561,Handbag,462.0,12/18/2019,3.1,Credit Card,246.0,4.0
3167,Handbag,462.0,12/27/2019,5.0,Cash,126.0,8.0
3094,Handbag,459.0,2/5/2022,4.8,Credit Card,247.0,3.0
3469,Wallet,459.0,1/5/2020,4.1,Online Payment,176.0,7.0
4454,Handbag,458.0,2/3/2019,4.3,Cash,284.0,10.0
3056,Wallet,457.0,12/22/2019,2.3,Online Payment,93.0,9.0
3100,Handbag,457.0,2/24/2022,3.6,Debit Card,189.0,5.0
3195,Handbag,457.0,2/6/2021,1.9,Online Payment,160.0,6.0
3221,Wallet,456.0,2/15/2020,4.3,Credit Card,82.0,6.0
4269,Handbag,456.0,2/6/2022,4.6,Credit Card,97.0,3.0
3621,Handbag,456.0,12/12/2020,2.0,Cash,96.0,10.0
4157,Handbag,456.0,1/21/2023,4.4,Cash,229.0,6.0
4601,Wallet,455.0,1/20/2019,1.4,Debit Card,69.0,7.0
3426,Handbag,455.0,9/2/2023,4.3,Online Payment,220.0,1.0
3113,Handbag,454.0,12/6/2023,1.3,Debit Card,243.0,5.0
3451,Tunic,454.0,3/26/2023,1.1,Cash,137.0,7.0
4905,Handbag,454.0,12/7/2023,3.0,Online Payment,140.0,5.0
3335,Wallet,453.0,2/9/2023,2.3,Online Payment,251.0,1.0
4805,Wallet,453.0,2/12/2019,3.6,Debit Card,194.0,10.0
4367,Handbag,452.0,12/19/2020,2.8,Cash,257.0,4.0
4859,Handbag,452.0,11/13/2020,1.5,Debit Card,163.0,6.0
3176,Handbag,452.0,1/8/2019,2.1,Cash,162.0,9.0
4600,Handbag,451.0,1/26/2019,4.3,Cash,164.0,10.0
4375,Wallet,451.0,12/15/2023,1.8,Online Payment,167.0,7.0
4023,Handbag,450.0,1/13/2019,2.0,Credit Card,245.0,10.0
3448,Wallet,450.0,2/22/2020,4.8,Online Payment,295.0,5.0
3065,Handbag,450.0,1/22/2023,1.2,Online Payment,155.0,9.0
4920,Handbag,449.0,2/12/2023,3.2,Credit Card,83.0,1.0
3360,Handbag,449.0,1/18/2023,5.0,Online Payment,160.0,1.0
3209,Wallet,448.0,12/19/2020,3.4,Debit Card,212.0,3.0
3462,Handbag,448.0,10/2/2021,2.9,Cash,98.0,4.0
3903,Handbag,447.0,12/8/2021,4.3,Cash,231.0,9.0
4702,Handbag,445.0,2/9/2023,3.5,Online Payment,63.0,5.0
3465,Handbag,444.0,12/12/2021,2.1,Credit Card,282.0,10.0
4856,Wallet,443.0,1/8/2019,4.6,Online Payment,184.0,9.0
3748,Wallet,443.0,2/12/2019,2.7,Online Payment,83.0,3.0
3995,Handbag,443.0,12/20/2021,3.8,Cash,47.0,9.0
3610,Handbag,442.0,2/11/2023,2.4,Online Payment,230.0,1.0
3493,Handbag,442.0,12/7/2019,4.2,Cash,157.0,7.0
4247,Handbag,442.0,9/28/2019,4.3,Online Payment,164.0,8.0
4523,Wallet,440.0,1/20/2023,2.7,Debit Card,219.0,10.0
4225,Handbag,440.0,12/16/2019,3.6,Cash,85.0,1.0
3632,Handbag,440.0,12/28/2023,4.5,Debit Card,220.0,1.0
3273,Handbag,440.0,2/11/2019,1.6,Credit Card,56.0,10.0
3207,Handbag,440.0,11/14/2022,5.0,Online Payment,223.0,2.0
3558,Handbag,440.0,2/17/2019,2.4,Credit Card,168.0,5.0
3110,Handbag,439.0,1/16/2022,2.1,Credit Card,109.0,9.0
4165,Handbag,439.0,11/24/2019,3.4,Debit Card,181.0,1.0
3498,Handbag,438.0,12/17/2023,3.5,Credit Card,203.0,2.0
3758,Handbag,438.0,2/18/2019,1.2,Cash,71.0,10.0
3610,Wallet,437.0,12/8/2023,4.4,Credit Card,112.0,8.0
3873,Handbag,437.0,12/23/2021,4.7,Debit Card,143.0,9.0
4723,Wallet,437.0,2/4/2020,1.2,Credit Card,264.0,6.0
3162,Handbag,436.0,12/22/2022,4.2,Cash,70.0,9.0
4382,Wallet,436.0,12/16/2022,1.4,Online Payment,157.0,6.0
3317,Handbag,435.0,2/14/2020,2.7,Credit Card,256.0,5.0
4324,Handbag,435.0,2/14/2022,2.4,Online Payment,231.0,9.0
4671,Handbag,435.0,1/17/2019,1.8,Online Payment,191.0,4.0
3870,Wallet,435.0,2/10/2021,1.9,Online Payment,134.0,8.0
3763,Tunic,434.0,4/3/2022,3.0,Cash,74.0,4.0
3517,Handbag,433.0,2/15/2020,3.9,Debit Card,213.0,2.0
3673,Handbag,433.0,2/16/2020,4.6,Cash,130.0,2.0
4253,Wallet,431.0,2/10/2020,2.3,Cash,188.0,7.0
3868,Handbag,431.0,2/26/2022,3.4,Online Payment,263.0,2.0
3581,Handbag,430.0,10/21/2019,2.7,Cash,115.0,4.0
4630,Handbag,430.0,1/5/2019,1.9,Credit Card,250.0,6.0
4820,Handbag,430.0,1/15/2019,1.4,Credit Card,248.0,6.0
4342,Handbag,429.0,12/15/2019,4.1,Online Payment,308.0,3.0
4037,Handbag,429.0,10/3/2021,4.4,Cash,176.0,6.0
3069,Handbag,429.0,12/9/2019,2.5,Debit Card,56.0,6.0
3654,Handbag,429.0,10/25/2020,3.7,Online Payment,239.0,5.0
3507,Handbag,429.0,12/9/2022,2.5,Online Payment,248.0,2.0
3031,Handbag,428.0,1/26/2021,3.6,Online Payment,194.0,4.0
3112,Handbag,428.0,2/21/2021,3.2,Credit Card,270.0,1.0
4210,Wallet,428.0,2/6/2019,1.2,Cash,162.0,7.0
3181,Handbag,427.0,1/24/2020,3.9,Cash,59.0,10.0
3020,Handbag,427.0,12/28/2021,3.3,Credit Card,191.0,8.0
3832,Handbag,427.0,9/16/2022,2.0,Cash,64.0,4.0
4837,Handbag,427.0,10/2/2020,3.1,Cash,116.0,2.0
4258,Handbag,426.0,1/12/2020,3.0,Cash,150.0,3.0
3638,Handbag,426.0,1/15/2022,1.2,Online Payment,203.0,10.0
3887,Handbag,426.0,9/22/2023,2.1,Credit Card,72.0,4.0
3576,Handbag,426.0,1/26/2020,2.1,Cash,258.0,9.0
4810,Handbag,426.0,2/19/2023,2.8,Cash,119.0,9.0
3749,Handbag,426.0,2/27/2022,3.7,Cash,174.0,2.0
4012,Handbag,425.0,2/20/2021,2.2,Cash,254.0,9.0
4494,Handbag,425.0,12/24/2022,3.5,Credit Card,136.0,5.0
3545,Handbag,424.0,2/6/2021,3.2,Online Payment,131.0,8.0
3066,Handbag,424.0,1/9/2022,1.3,Debit Card,93.0,7.0
4065,Handbag,424.0,1/26/2019,1.0,Credit Card,97.0,1.0
4020,Tunic,424.0,4/9/2023,1.8,Online Payment,220.0,3.0
4643,Handbag,424.0,9/18/2021,4.7,Debit Card,175.0,7.0
3130,Handbag,423.0,2/11/2023,1.2,Online Payment,85.0,3.0
3060,Handbag,423.0,12/14/2021,4.6,Cash,169.0,9.0
3119,Wallet,423.0,12/24/2019,1.5,Debit Card,140.0,8.0
4146,Handbag,423.0,2/8/2023,4.8,Cash,130.0,3.0
3958,Handbag,422.0,11/1/2020,2.5,Online Payment,54.0,3.0
3553,Wallet,422.0,1/21/2022,3.9,Cash,147.0,5.0
4252,Handbag,422.0,9/27/2020,2.6,Debit Card,161.0,8.0
3819,Handbag,422.0,1/18/2020,2.2,Credit Card,55.0,7.0
4875,Handbag,421.0,12/21/2021,5.0,Credit Card,283.0,3.0
3373,Handbag,421.0,2/20/2023,2.1,Cash,49.0,3.0
3685,Handbag,420.0,2/19/2022,5.0,Cash,219.0,10.0
3020,Handbag,420.0,2/26/2022,4.5,Online Payment,186.0,7.0
3282,Handbag,420.0,2/12/2020,2.3,Debit Card,115.0,9.0
3094,Tunic,420.0,3/15/2020,4.6,Cash,54.0,2.0
4558,Handbag,419.0,12/25/2022,1.7,Credit Card,162.0,5.0
4634,Handbag,419.0,1/8/2019,2.7,Credit Card,75.0,6.0
3060,Handbag,419.0,2/23/2020,3.1,Debit Card,208.0,7.0
3504,Wallet,418.0,12/7/2019,3.8,Online Payment,147.0,7.0
3054,Handbag,418.0,12/26/2021,4.7,Cash,130.0,4.0
4357,Handbag,418.0,1/12/2020,4.7,Debit Card,190.0,10.0
4881,Handbag,417.0,2/27/2022,1.0,Credit Card,187.0,3.0
4961,Handbag,417.0,12/12/2023,4.7,Debit Card,92.0,10.0
3147,Handbag,416.0,2/22/2021,4.7,Cash,93.0,1.0
4742,Handbag,416.0,2/17/2021,4.7,Online Payment,206.0,5.0
3509,Handbag,416.0,11/1/2021,2.8,Online Payment,192.0,6.0
4818,Handbag,416.0,12/16/2022,4.1,Credit Card,122.0,9.0
4874,Handbag,416.0,12/20/2020,4.3,Online Payment,171.0,6.0
3461,Handbag,415.0,2/19/2022,1.4,Cash,163.0,10.0
3227,Handbag,415.0,2/26/2020,3.8,Debit Card,196.0,5.0
3033,Handbag,415.0,1/1/2020,4.6,Debit Card,207.0,1.0
3568,Handbag,414.0,1/5/2019,1.4,Debit Card,174.0,1.0
3262,Handbag,414.0,1/10/2021,2.9,Cash,192.0,4.0
3721,Handbag,414.0,9/13/2021,3.4,Cash,78.0,6.0
3676,Handbag,414.0,12/18/2022,4.3,Debit Card,188.0,3.0
4887,Handbag,414.0,1/9/2022,2.4,Online Payment,259.0,8.0
4839,Handbag,414.0,2/3/2020,4.3,Cash,56.0,3.0
4328,Handbag,414.0,2/12/2023,1.2,Cash,150.0,2.0
4450,Handbag,413.0,1/9/2021,1.3,Debit Card,76.0,7.0
4106,Wallet,413.0,12/26/2021,3.4,Online Payment,117.0,1.0
3112,Wallet,413.0,12/10/2021,1.5,Credit Card,158.0,7.0
3115,Handbag,412.0,10/5/2020,4.5,Cash,128.0,2.0
3836,Handbag,412.0,12/7/2019,3.9,Debit Card,347.0,5.0
4086,Tunic,412.0,4/20/2019,3.3,Credit Card,242.0,10.0
4754,Handbag,412.0,9/2/2022,1.5,Online Payment,222.0,7.0
4947,Wallet,411.0,1/18/2020,2.7,Debit Card,106.0,5.0
3113,Handbag,410.0,1/19/2020,3.5,Online Payment,257.0,10.0
4246,Handbag,410.0,2/27/2021,2.4,Online Payment,190.0,9.0
4462,Handbag,409.0,2/11/2022,1.0,Credit Card,132.0,8.0
3173,Handbag,409.0,1/28/2023,2.7,Cash,249.0,4.0
4731,Handbag,409.0,12/17/2020,2.9,Credit Card,76.0,7.0
4847,Tunic,409.0,4/1/2023,4.1,Debit Card,143.0,1.0
3750,Wallet,408.0,1/27/2023,3.4,Debit Card,296.0,7.0
3564,Handbag,408.0,12/28/2019,4.1,Cash,46.0,9.0
3351,Handbag,408.0,1/27/2021,4.3,Cash,84.0,7.0
3117,Handbag,408.0,2/3/2023,4.4,Online Payment,97.0,1.0
3168,Handbag,408.0,12/19/2021,2.9,Online Payment,220.0,6.0
3643,Wallet,407.0,12/18/2022,4.6,Credit Card,260.0,5.0
3064,Tunic,407.0,5/2/2020,1.9,Cash,188.0,3.0
3344,Handbag,407.0,10/13/2019,1.3,Cash,238.0,7.0
3642,Handbag,406.0,9/21/2021,3.5,Debit Card,181.0,10.0
4131,Handbag,406.0,12/27/2019,4.5,Cash,60.0,2.0
4860,Handbag,406.0,12/6/2023,3.5,Cash,232.0,8.0
3126,Handbag,406.0,1/11/2021,1.0,Credit Card,75.0,9.0
4074,Wallet,405.0,2/6/2020,4.6,Online Payment,281.0,2.0
3877,Handbag,405.0,1/8/2022,2.2,Credit Card,252.0,3.0
4382,Handbag,405.0,1/16/2022,2.4,Credit Card,67.0,8.0
4788,Handbag,404.0,2/22/2019,1.9,Online Payment,88.0,9.0
3771,Handbag,404.0,1/23/2022,3.3,Cash,147.0,7.0
3456,Handbag,404.0,2/21/2020,3.2,Debit Card,93.0,8.0
3700,Handbag,404.0,1/27/2019,1.4,Cash,110.0,7.0
4582,Handbag,404.0,1/5/2019,1.2,Online Payment,202.0,4.0
3157,Handbag,403.0,2/8/2019,4.6,Online Payment,210.0,10.0
3289,Handbag,403.0,12/3/2023,2.9,Debit Card,248.0,10.0
3221,Handbag,403.0,1/28/2019,4.8,Online Payment,127.0,5.0
4409,Handbag,403.0,12/17/2022,1.4,Online Payment,80.0,1.0
4374,Handbag,402.0,2/28/2021,3.5,Debit Card,103.0,5.0
3178,Wallet,402.0,2/8/2022,3.8,Online Payment,257.0,10.0
3693,Wallet,402.0,2/26/2019,4.8,Cash,281.0,10.0
3952,Wallet,401.0,12/9/2020,3.9,Cash,205.0,5.0
4525,Handbag,401.0,10/8/2023,4.6,Online Payment,201.0,8.0
3858,Handbag,401.0,1/6/2019,2.4,Debit Card,59.0,1.0
3505,Handbag,401.0,12/18/2022,2.8,Online Payment,206.0,2.0
3150,Wallet,401.0,2/10/2019,4.1,Debit Card,214.0,1.0
3260,Handbag,401.0,2/27/2022,3.0,Online Payment,238.0,10.0
3794,Handbag,401.0,2/27/2021,4.8,Online Payment,125.0,1.0
3213,Handbag,400.0,9/11/2021,1.1,Cash,60.0,1.0
4819,Handbag,400.0,12/9/2023,4.3,Cash,84.0,5.0
4467,Handbag,400.0,2/25/2023,2.7,Cash,250.0,10.0
3647,Handbag,400.0,2/27/2023,3.4,Credit Card,218.0,10.0
3022,Handbag,400.0,2/27/2023,1.8,Debit Card,115.0,8.0
4210,Handbag,400.0,1/3/2020,2.1,Cash,165.0,3.0
3588,Handbag,400.0,2/28/2020,4.8,Online Payment,109.0,2.0
4756,Wallet,400.0,1/10/2022,4.3,Credit Card,130.0,2.0
3721,Handbag,400.0,2/8/2021,3.4,Debit Card,72.0,2.0
3448,Handbag,399.0,11/5/2021,4.5,Credit Card,259.0,6.0
4724,Handbag,399.0,1/5/2019,4.6,Cash,243.0,3.0
4320,Handbag,399.0,2/13/2021,3.1,Credit Card,140.0,7.0
4706,Wallet,398.0,12/4/2022,5.0,Debit Card,92.0,10.0
3493,Handbag,398.0,10/21/2022,4.5,Debit Card,67.0,8.0
4561,Handbag,398.0,12/11/2022,1.4,Online Payment,197.0,2.0
4229,Handbag,398.0,2/25/2020,4.7,Cash,130.0,9.0
4557,Handbag,397.0,12/9/2023,3.2,Online Payment,113.0,5.0
3373,Handbag,397.0,11/18/2019,1.8,Credit Card,236.0,9.0
4822,Wallet,397.0,2/28/2021,1.7,Credit Card,191.0,4.0
3000,Handbag,397.0,1/10/2021,4.8,Online Payment,118.0,3.0
3628,Handbag,397.0,2/13/2021,2.1,Cash,184.0,8.0
3971,Handbag,397.0,10/25/2019,4.8,Debit Card,272.0,4.0
3084,Handbag,397.0,1/27/2022,2.3,Debit Card,195.0,5.0
4950,Wallet,397.0,2/27/2021,1.0,Debit Card,66.0,2.0
3013,Wallet,396.0,1/11/2020,1.5,Online Payment,212.0,8.0
4417,Handbag,396.0,12/18/2022,1.6,Credit Card,72.0,3.0
3658,Handbag,396.0,10/22/2021,1.0,Online Payment,55.0,9.0
3089,Handbag,396.0,2/17/2022,4.8,Online Payment,43.0,4.0
3098,Handbag,396.0,2/20/2022,1.8,Debit Card,290.0,4.0
3900,Handbag,395.0,12/7/2020,4.6,Debit Card,53.0,5.0
3651,Handbag,394.0,12/15/2019,3.4,Credit Card,205.0,5.0
4691,Tunic,394.0,3/18/2019,2.4,Debit Card,150.0,10.0
3435,Handbag,394.0,2/2/2022,1.1,Credit Card,171.0,9.0
3665,Handbag,394.0,12/26/2021,4.0,Online Payment,289.0,2.0
3478,Handbag,393.0,12/4/2019,3.5,Debit Card,75.0,8.0
4576,Handbag,393.0,12/25/2022,4.6,Cash,129.0,6.0
4351,Handbag,393.0,1/27/2020,2.8,Online Payment,96.0,7.0
3104,Handbag,393.0,1/6/2020,2.4,Credit Card,223.0,3.0
3373,Handbag,393.0,12/17/2022,1.4,Credit Card,84.0,3.0
4852,Wallet,392.0,2/24/2021,3.0,Debit Card,144.0,6.0
4508,Handbag,392.0,12/14/2019,1.4,Credit Card,201.0,9.0
4299,Wallet,392.0,2/22/2020,2.6,Credit Card,255.0,1.0
4606,Handbag,392.0,2/17/2021,2.2,Debit Card,117.0,6.0
4918,Handbag,392.0,9/17/2021,1.2,Cash,82.0,8.0
3195,Handbag,391.0,2/26/2022,3.5,Cash,124.0,3.0
3120,Handbag,391.0,12/10/2022,1.5,Cash,221.0,7.0
3971,Handbag,391.0,2/23/2020,2.8,Online Payment,185.0,5.0
4440,Handbag,391.0,2/24/2022,4.7,Credit Card,112.0,10.0
3696,Handbag,391.0,12/28/2021,1.4,Credit Card,77.0,8.0
3680,Handbag,391.0,2/5/2023,1.6,Debit Card,58.0,8.0
3278,Handbag,390.0,9/28/2019,2.1,Debit Card,110.0,4.0
3184,Handbag,390.0,2/8/2020,3.1,Online Payment,78.0,8.0
4396,Wallet,390.0,12/15/2019,1.2,Cash,73.0,3.0
4234,Wallet,390.0,12/13/2020,3.4,Debit Card,51.0,6.0
3004,Wallet,390.0,2/20/2022,4.3,Credit Card,43.0,10.0
3992,Handbag,390.0,11/18/2021,4.4,Cash,90.0,2.0
3816,Tunic,390.0,4/25/2021,4.0,Online Payment,148.0,7.0
3021,Handbag,389.0,10/18/2019,3.8,Cash,215.0,7.0
3716,Handbag,389.0,11/24/2022,3.1,Cash,122.0,1.0
3634,Handbag,389.0,1/18/2023,3.4,Online Payment,61.0,6.0
3170,Handbag,389.0,12/6/2021,3.2,Debit Card,195.0,10.0
3013,Wallet,389.0,1/24/2022,2.2,Debit Card,223.0,7.0
3295,Handbag,388.0,12/16/2019,2.8,Cash,307.0,8.0
3875,Handbag,388.0,12/18/2022,4.7,Cash,186.0,6.0
4043,Wallet,388.0,2/23/2019,3.7,Debit Card,44.0,10.0
4954,Handbag,388.0,1/3/2021,4.6,Cash,160.0,10.0
3126,Handbag,388.0,2/19/2021,2.4,Debit Card,269.0,7.0
3373,Handbag,388.0,12/12/2022,4.4,Debit Card,254.0,6.0
3699,Handbag,387.0,12/25/2022,3.9,Online Payment,85.0,8.0
3341,Tunic,387.0,5/2/2021,3.4,Online Payment,153.0,4.0
4623,Handbag,387.0,12/6/2022,1.6,Credit Card,179.0,1.0
4887,Tunic,387.0,4/20/2023,4.5,Credit Card,163.0,6.0
3167,Handbag,387.0,2/27/2022,4.4,Cash,173.0,3.0
3011,Handbag,387.0,1/9/2021,2.5,Credit Card,170.0,3.0
3352,Tunic,387.0,3/22/2019,1.9,Debit Card,194.0,4.0
4618,Handbag,387.0,2/18/2023,2.9,Online Payment,216.0,3.0
3133,Handbag,386.0,12/27/2019,3.6,Cash,189.0,6.0
